"","Category","Title","VideoID","Readable_Duration","Video_URL"
"PT6M40S","AJAX","Final session ahead of tomorrow&#39;s important match in Eindhoven! 🤜​🤛​ | TRAININGDAY","2gs4cuNDZmE","06:40","https://www.youtube.com/watch?v=2gs4cuNDZmE"
"PT35M35S","AJAX","What On Earth Is Going On At Ajax?","LH-grh8bjTY","35:35","https://www.youtube.com/watch?v=LH-grh8bjTY"
"PT9M18S1","AJAX","Highlights FC Utrecht - Ajax | Eredivisie","W2-45es_DIY","09:18","https://www.youtube.com/watch?v=W2-45es_DIY"
"PT1M2","AJAX","Ajax are in a CRISIS! 😱","15IKhaNPHRk","01:00","https://www.youtube.com/watch?v=15IKhaNPHRk"
"PT15M23S","AJAX","Highlights Ajax - Feyenoord | Eredivisie","GO_BFe1Mh1Q","15:23","https://www.youtube.com/watch?v=GO_BFe1Mh1Q"
"PT2M27S1","AJAX","Ludogorets 1-4 Ajax | EUROPA LEAGUE 2023-2024","PUSe8-Te7Bk","02:27","https://www.youtube.com/watch?v=PUSe8-Te7Bk"
"PT8M27S","AJAX","Highlights Ajax - AZ | Eredivisie","KKJGQq3EcwE","08:27","https://www.youtube.com/watch?v=KKJGQq3EcwE"
"PT39M6S1","HTML","HTML Tutorial for Beginners","FQdaUv95mR8","39:06","https://www.youtube.com/watch?v=FQdaUv95mR8"
"PT4H7M30S1","HTML","Learn HTML – Full Tutorial for Beginners (2022)","kUMe1FH4CHE","04:07:30","https://www.youtube.com/watch?v=kUMe1FH4CHE"
"PT1H9M34S1","HTML","HTML Tutorial for Beginners: HTML Crash Course","qz0aGYrrlhU","01:09:34","https://www.youtube.com/watch?v=qz0aGYrrlhU"
"PT2M34S","HTML","HTML in 100 Seconds","ok-plXXHlWw","02:34","https://www.youtube.com/watch?v=ok-plXXHlWw"
"PT6H31M24S1","HTML","HTML &amp; CSS Full Course - Beginner to Pro","G3e-cpL7ofc","06:31:24","https://www.youtube.com/watch?v=G3e-cpL7ofc"
"PT5M12S","HTML","HTML in 5 minutes","salY_Sm6mv4","05:12","https://www.youtube.com/watch?v=salY_Sm6mv4"
"PT4H2M43S2","HTML","HTML &amp; CSS Full Course for free 🌎 (2023)","HGTJBPNC-Gw","04:02:43","https://www.youtube.com/watch?v=HGTJBPNC-Gw"
"PT33M24S","HTML","HTML Tutorial - How to Make a Super Simple Website","PlxWf493en4","33:24","https://www.youtube.com/watch?v=PlxWf493en4"
"PT52M20S","HTML","Programação em HTML/CSS/JAVASCRIPT - Estilos de Cursores de Rato","Mdo5WLzVS00","52:20","https://www.youtube.com/watch?v=Mdo5WLzVS00"
"PT1H","HTML","Learn HTML in 1 hour 🌎","HD13eq_Pmp8","01:00:00","https://www.youtube.com/watch?v=HD13eq_Pmp8"
"PT3M5S","consumer cameras","Why digital cameras are making a comeback","2yujDMEbREU","03:05","https://www.youtube.com/watch?v=2yujDMEbREU"
"PT6M33S","consumer cameras","Why Hasselblad Cameras Are So Expensive | So Expensive","C-nStXCjEYg","06:33","https://www.youtube.com/watch?v=C-nStXCjEYg"
"PT40S","consumer cameras","The Best Cameras In 2023 Under $1000","UaH-CiDNByg","00:40","https://www.youtube.com/watch?v=UaH-CiDNByg"
"PT6M23S1","consumer cameras","5 Reasons Older Digital Cameras Rock / A Film Photographers Perspective","OBlH8OKtJHU","06:23","https://www.youtube.com/watch?v=OBlH8OKtJHU"
